1.4000E-03 -109.2704707842 -0.0095326981	-0.0002134099 0.0039398904
1.4200E-03 -109.2704669653 -0.0095879869	-0.0003257294 0.0038553433
1.4400E-03 -109.2704616120 -0.0096413135	-0.0004404387 0.0037698889
1.4600E-03 -109.2704547351 -0.0096927200	-0.0005572921 0.0036836031
1.4800E-03 -109.2704463488 -0.0097422478	-0.0006760425 0.0035965517
1.5000E-03 -109.2704364697 -0.0097899374	-0.0007964442 0.0035087922
1.5200E-03 -109.2704251171 -0.0098358286	-0.0009182533 0.0034203732
1.5400E-03 -109.2704123128 -0.0098799600	-0.0010412286 0.0033313364
1.5600E-03 -109.2703980806 -0.0099223692	-0.0011651329 0.0032417170
1.5800E-03 -109.2703824466 -0.0099630930	-0.0012897326 0.0031515446
1.6000E-03 -109.2703654387 -0.0100021669	-0.0014147997 0.0030608442
1.6200E-03 -109.2703470868 -0.0100396254	-0.0015401110 0.0029696362
1.6400E-03 -109.2703274220 -0.0100755022	-0.0016654491 0.0028779390
1.6600E-03 -109.2703064772 -0.0101098297	-0.0017906034 0.0027857676
1.6800E-03 -109.2702842865 -0.0101426395	-0.0019153694 0.0026931358
